"GPA","Attendance","Homework","ExamScore"
3.190000057,84.375,100,57.09033638
2.730000019,68.75,87.5,50.78781503
3,93.75,87.5,63.392856125
2.039999962,96.875,100,53.939075165
3.680000067,100,100,75.9978956
3.230000019,90.625,100,47.636554985
1.539999962,93.75,75,0.367639070000003
2,81.25,100,75.9978956
2.25,75,100,50.78781503
3,90.625,100,50.78781503
3.210000038,93.75,100,53.939075165
2.049999952,59.375,50,38.182771805
2.130000114,59.375,75,53.939075165
3.579999924,90.625,100,72.846634385
2.5,90.625,62.5,60.241596695
2.099999905,93.75,100,41.334033905
1.269999981,62.5,75,38.182771805
2.769999981,100,100,35.031512375
3.150000095,96.875,100,47.636554985
2.380000114,90.625,100,38.182771805
1.769999981,84.375,75,44.485293335
2.329999924,78.125,100,53.939075165
2.329999924,96.875,100,28.72899533
3.880000114,68.75,75,72.846634385
3.289999962,84.375,87.5,72.846634385
3.799999952,90.625,100,66.54411554
3.5,100,100,69.69537497
2.140000105,78.125,100,38.182771805
2.880000114,93.75,75,63.392856125
3.269999981,78.125,100,53.939075165
3.289999962,84.375,87.5,63.392856125
2.559999943,84.375,100,50.78781503
3.25,71.875,62.5,47.636554985
2.710000038,100,100,57.09033638
2.859999895,96.875,100,53.939075165
2.5,78.125,100,41.334033905
2.150000095,56.25,62.5,69.69537497
3.5,100,87.5,69.69537497
2.160000086,96.875,100,50.78781503
2.400000095,75,25,28.72899533
3.539999962,96.875,100,66.54411554
3.650000095,96.875,100,66.54411554
2.5,100,100,28.72899533
2.119999886,78.125,87.5,44.485293335
2.5,96.875,100,50.78781503
3.809999943,100,100,75.9978956
3.099999905,93.75,50,28.72899533
3.140000105,93.75,100,44.485293335
3,93.75,87.5,60.241596695
1.210000038,31.25,NA,60.241596695
2.180000067,59.375,87.5,41.334033905
2.809999943,93.75,87.5,31.880254745
2.099999905,53.125,100,53.939075165
2.069999933,84.375,87.5,47.636554985
1.360000014,84.375,62.5,38.182771805
3,84.375,87.5,63.392856125
1.960000038,87.5,100,35.031512375
2.859999895,93.75,100,79.149155015
2.609999895,93.75,87.5,44.485293335
2.710000038,93.75,87.5,41.334033905
2.890000105,96.875,100,41.334033905
2.859999895,81.25,100,57.09033638
2.349999905,78.125,50,66.54411554
2.640000105,75,100,35.031512375
3.289999962,59.375,87.5,79.149155015
1.539999962,68.75,87.5,25.577734115
3.319999933,87.5,100,35.031512375
4,100,100,79.149155015
2.630000114,90.625,100,47.636554985
2.380000114,59.375,75,38.182771805
1.299999952,62.5,62.5,35.031512375
2.75999999,90.625,100,60.241596695
2.329999924,81.25,75,31.880254745
2.640000105,81.25,12.5,60.241596695
2.309999943,71.875,62.5,47.636554985
2.230000019,84.375,62.5,31.880254745
2.309999943,96.875,100,44.485293335
3.880000114,96.875,87.5,79.149155015
2.380000114,90.625,100,28.72899533
3.220000029,96.875,100,47.636554985
2.25999999,75,100,57.09033638
0.75,78.125,62.5,38.182771805
2.849999905,93.75,75,57.09033638
1.649999976,100,62.5,47.636554985
2.920000076,93.75,100,31.880254745
2.5,71.875,75,50.78781503
2.140000105,75,62.5,47.636554985
3.220000029,100,75,57.09033638
2.390000105,62.5,75,41.334033905
3.150000095,81.25,100,53.939075165
1.75,84.375,87.5,50.78781503
1.75,75,75,47.636554985
2.809999943,93.75,100,47.636554985
3.049999952,96.875,100,53.939075165
2.269999981,71.875,75,35.031512375
2.920000076,78.125,100,57.09033638
2.5,90.625,87.5,50.78781503
3.710000038,87.5,100,75.9978956
1.5,62.5,37.5,35.031512375
2.109999895,96.875,100,38.182771805
3.279999971,96.875,100,75.9978956
1.600000024,71.875,100,53.939075165
3.329999924,78.125,100,63.392856125
2.039999962,87.5,100,41.334033905
2.859999895,90.625,100,53.939075165
0.82099998,53.125,12.5,38.182771805
2.460000038,87.5,87.5,63.392856125
4,100,100,79.149155015
1.360000014,62.5,75,35.031512375
0,6.25,37.5,31.880254745
1.830000043,65.625,50,38.182771805
3.75,87.5,100,72.846634385
1.649999976,81.25,75,63.392856125
3,75,100,31.880254745
2.670000076,96.875,100,31.880254745
2.869999886,90.625,100,63.392856125
2.309999943,65.625,100,41.334033905
2.630000114,75,100,47.636554985
1.830000043,62.5,62.5,53.939075165
2,93.75,87.5,28.72899533
3.589999914,96.875,100,63.392856125
2.880000114,100,100,28.72899533
1.929999948,71.875,87.5,66.54411554
2.700000048,93.75,100,57.09033638
2.690000057,87.5,87.5,35.031512375
3.380000114,78.125,87.5,47.636554985
2.5,87.5,100,63.392856125
3.529999971,75,100,69.69537497
2.150000095,81.25,100,31.880254745
2.680000067,78.125,100,41.334033905
2.710000038,84.375,100,44.485293335
2.619999886,71.875,100,60.241596695
2.190000057,90.625,87.5,28.72899533
2.680000067,68.75,100,60.241596695
2.75,87.5,62.5,50.78781503
1.600000024,78.125,50,28.72899533
2.380000114,78.125,100,31.880254745
2.299999952,84.375,87.5,53.939075165
3.359999895,71.875,100,63.392856125
3.25,100,100,50.78781503
1.5,84.375,62.5,41.334033905
2.960000038,96.875,87.5,47.636554985
3.099999905,78.125,62.5,31.880254745
2.039999962,81.25,100,50.78781503
3.210000038,90.625,100,66.54411554
3.119999886,87.5,100,38.182771805
1.5,93.75,100,69.69537497
1.960000038,90.625,75,19.275213485
3.339999914,90.625,100,44.485293335
2.900000095,87.5,100,38.182771805
3.650000095,100,100,66.54411554
3.029999971,78.125,75,47.636554985
2.680000067,87.5,62.5,53.939075165
2.430000067,87.5,75,50.78781503
1.5,75,100,44.485293335
2.970000029,90.625,100,57.09033638
3.710000038,93.75,87.5,85.45167566
2.269999981,90.625,100,35.031512375
2.680000067,87.5,87.5,66.54411554
3.630000114,78.125,100,69.69537497
2.589999914,93.75,100,60.241596695
2.769999981,100,100,60.241596695
3.299999952,90.625,100,53.939075165
2.130000114,87.5,87.5,41.334033905
2.349999905,75,87.5,63.392856125
3.460000038,81.25,100,60.241596695
2.079999924,9.375,87.5,41.334033905
3.049999952,46.875,75,69.69537497
3.549999952,96.875,100,57.09033638
2.130000114,78.125,50,63.392856125
2.380000114,84.375,100,38.182771805
3.730000019,84.375,100,85.45167566
2.130000114,84.375,100,22.426474685
3.710000038,90.625,100,66.54411554
2.549999952,100,75,44.485293335
3.130000114,71.875,100,50.78781503
3.190000057,100,87.5,41.334033905
2.589999914,87.5,100,57.09033638
2.789999962,96.875,100,53.939075165
3,78.125,100,63.392856125
2.75,93.75,87.5,44.485293335
3.25,75,100,63.392856125
0.699999988,68.75,12.5,57.09033638
3.210000038,96.875,100,63.392856125
1.809999943,50,NA,47.636554985
3.210000038,87.5,100,38.182771805
3,96.875,100,38.182771805
1.850000024,65.625,75,35.031512375
2,28.125,37.5,50.78781503
1.350000024,75,75,38.182771805
3.039999962,96.875,100,69.69537497
3.180000067,87.5,100,50.78781503
3.359999895,81.25,100,75.9978956
3,96.875,100,50.78781503
2.880000114,62.5,87.5,50.78781503
3.039999962,71.875,100,63.392856125
2.730000019,90.625,100,44.485293335
2.779999971,100,87.5,75.9978956
2.960000038,100,87.5,63.392856125
2.25,90.625,87.5,50.78781503
2.109999895,87.5,87.5,28.72899533
3.269999981,96.875,100,75.9978956
2.230000019,87.5,100,38.182771805
2.940000057,96.875,100,38.182771805
4,93.75,100,82.30041623
2.319999933,84.375,87.5,53.939075165
3.410000086,78.125,100,44.485293335
2.289999962,84.375,100,50.78781503
1.539999962,78.125,87.5,38.182771805
3.559999943,100,100,66.54411554
1,31.25,12.5,31.880254745
2.940000057,78.125,100,63.392856125
3.140000105,96.875,100,38.182771805
2.75,90.625,75,38.182771805
2.230000019,84.375,100,50.78781503
3.799999952,93.75,100,60.241596695
3.539999962,100,100,38.182771805
3.75,96.875,100,66.54411554
3.5,100,100,53.939075165
2.619999886,90.625,87.5,41.334033905
1.75999999,75,50,50.78781503
2.359999895,65.625,87.5,38.182771805
2.460000038,65.625,100,44.485293335
3.730000019,100,100,69.69537497
3.230000019,87.5,100,50.78781503
2.609999895,100,87.5,66.54411554
2.630000114,87.5,100,47.636554985
3.079999924,87.5,100,53.939075165
1.379999995,93.75,100,22.426474685
3.539999962,93.75,100,60.241596695
3.150000095,87.5,87.5,50.78781503
2.210000038,90.625,100,50.78781503
2.180000067,53.125,62.5,44.485293335
3.099999905,100,100,47.636554985
2.619999886,81.25,100,44.485293335
2.400000095,96.875,100,57.09033638
3.599999905,93.75,100,35.031512375
2.039999962,81.25,100,69.69537497
3.119999886,90.625,100,57.09033638
3.190000057,87.5,100,38.182771805
1.970000029,78.125,100,44.485293335
3,100,100,72.846634385
3.359999895,96.875,100,57.09033638
1.789999962,75,100,47.636554985
2.970000029,84.375,100,53.939075165
2.670000076,71.875,87.5,53.939075165
3.160000086,90.625,87.5,50.78781503
2.5,81.25,75,38.182771805
1.710000038,68.75,87.5,35.031512375
2.730000019,90.625,100,53.939075165
3.579999924,90.625,100,63.392856125
2.210000038,84.375,100,50.78781503
1.75,56.25,62.5,35.031512375
2.109999895,84.375,100,41.334033905
4,90.625,87.5,85.45167566
3.140000105,71.875,87.5,44.485293335
2.920000076,78.125,75,53.939075165
2.289999962,87.5,100,28.72899533
2.960000038,93.75,100,47.636554985
2.069999933,75,100,35.031512375
1.799999952,93.75,100,63.392856125
3.730000019,100,87.5,88.602935075
2.309999943,87.5,100,28.72899533
2.390000105,90.625,100,47.636554985
2.960000038,78.125,100,79.149155015
3.619999886,96.875,100,69.69537497
3.119999886,96.875,100,60.241596695
2.309999943,93.75,100,63.392856125
1.710000038,71.875,100,38.182771805
2.690000057,96.875,75,60.241596695
2.430000067,100,87.5,35.031512375
2.549999952,100,100,31.880254745
2.769999981,93.75,100,60.241596695
3.400000095,87.5,100,50.78781503
2.5,81.25,87.5,35.031512375
3,75,75,63.392856125
2.25,87.5,100,28.72899533
2.5,46.875,50,44.485293335
2.049999952,87.5,87.5,44.485293335
1.379999995,90.625,100,19.275213485
2.730000019,84.375,87.5,47.636554985
3.299999952,87.5,25,72.846634385
2.789999962,96.875,100,66.54411554
3.309999943,90.625,100,53.939075165
1.789999962,93.75,75,12.97268033
2.970000029,75,100,66.54411554
2.130000114,96.875,100,12.97268033
3.039999962,87.5,100,44.485293335
2.039999962,65.625,87.5,41.334033905
2.75,81.25,100,47.636554985
3.400000095,100,100,60.241596695
2.819999933,100,100,28.72899533
0.545000017,65.625,37.5,41.334033905
1.429999948,28.125,37.5,47.636554985
2.150000095,81.25,87.5,53.939075165
2.539999962,75,75,44.485293335
2.5,81.25,100,47.636554985
2.380000114,96.875,100,47.636554985
1.669999957,84.375,87.5,16.123954055
3.210000038,87.5,100,47.636554985
2.75,100,100,44.485293335
2.5,78.125,87.5,60.241596695
2.900000095,81.25,100,44.485293335
2.650000095,84.375,50,60.241596695
3.430000067,100,100,38.182771805
2.849999905,65.625,75,66.54411554
3.210000038,100,100,25.577734115
2.25,78.125,100,47.636554985
2.440000057,87.5,100,38.182771805
2.769999981,75,100,69.69537497
3.400000095,71.875,100,53.939075165
3.460000038,96.875,100,63.392856125
3.339999914,100,100,53.939075165
2.430000067,90.625,75,38.182771805
2.710000038,90.625,62.5,38.182771805
2.109999895,96.875,100,50.78781503
4,90.625,100,91.754194505
2.099999905,75,100,63.392856125
2.380000114,53.125,62.5,44.485293335
2.119999886,90.625,100,25.577734115
4,96.875,100,79.149155015
3.039999962,84.375,100,50.78781503
1.110000014,62.5,87.5,57.09033638
3.130000114,96.875,100,63.392856125
3,84.375,100,60.241596695
1.799999952,53.125,NA,47.636554985
1.679999948,53.125,87.5,44.485293335
3,90.625,100,44.485293335
2.25,84.375,87.5,47.636554985
3.25,96.875,100,63.392856125
1.139999986,37.5,37.5,22.426474685
2.970000029,84.375,100,47.636554985
1.889999986,78.125,100,47.636554985
2.670000076,84.375,100,50.78781503
3.200000048,81.25,100,60.241596695
2.5,84.375,100,41.334033905
1.789999962,71.875,100,28.72899533
2,78.125,87.5,38.182771805
3.619999886,84.375,87.5,69.69537497
2.5,87.5,87.5,57.09033638
3.049999952,100,100,44.485293335
3.640000105,87.5,100,66.54411554
3.539999962,81.25,100,66.54411554
2.859999895,71.875,75,57.09033638
3.680000067,100,100,66.54411554
3.230000019,87.5,100,60.241596695
3.150000095,93.75,100,25.577734115
3.109999895,84.375,100,66.54411554
2.589999914,78.125,62.5,57.09033638
2.789999962,100,100,47.636554985
3.039999962,78.125,75,50.78781503
2.180000067,84.375,87.5,38.182771805
2.809999943,87.5,100,38.182771805
2.900000095,100,100,44.485293335
3.5,93.75,100,72.846634385
2.170000076,56.25,87.5,82.30041623
1.350000024,46.875,50,35.031512375
0.791999996,65.625,62.5,41.334033905
3.190000057,75,100,75.9978956
3.380000114,100,100,60.241596695
1.850000024,56.25,75,53.939075165
2.630000114,75,75,53.939075165
2.039999962,78.125,100,38.182771805
4,93.75,100,79.149155015
3.859999895,100,100,75.9978956
3.069999933,100,100,41.334033905
2.650000095,90.625,100,28.72899533
2.5,31.25,37.5,79.149155015
3.630000114,84.375,100,60.241596695
1.629999995,59.375,100,44.485293335
2.650000095,53.125,87.5,50.78781503
2.809999943,90.625,100,63.392856125
2.380000114,81.25,100,50.78781503
1.649999976,50,50,38.182771805
2.670000076,56.25,100,44.485293335
1.679999948,53.125,75,9.82143521
2.309999943,18.75,50,57.09033638
3,84.375,100,63.392856125
2.640000105,75,100,38.182771805
2,81.25,100,28.72899533
1.620000005,46.875,87.5,28.72899533
2.690000057,87.5,100,57.09033638
3.950000048,93.75,100,82.30041623
1.620000005,90.625,62.5,47.636554985
2.430000067,93.75,100,22.426474685
2.5,87.5,100,57.09033638
3.460000038,87.5,100,79.149155015
3.089999914,100,100,72.846634385
2.329999924,71.875,75,28.72899533
1.230000019,37.5,37.5,35.031512375
3.25,81.25,100,69.69537497
1.769999981,15.625,50,47.636554985
4,93.75,100,85.45167566
2.630000114,78.125,100,38.182771805
3.700000048,84.375,100,66.54411554
1.960000038,87.5,87.5,22.426474685
1.169999957,43.75,50,57.09033638
2.880000114,87.5,100,53.939075165
2.329999924,87.5,100,38.182771805
2,71.875,100,22.426474685
2.150000095,87.5,100,41.334033905
1.879999995,84.375,87.5,53.939075165
2.900000095,100,100,41.334033905
3.5,90.625,100,79.149155015
2.410000086,78.125,100,41.334033905
2.380000114,90.625,100,47.636554985
3.039999962,68.75,100,44.485293335
2.410000086,96.875,87.5,47.636554985
2.450000048,90.625,75,41.334033905
3.660000086,81.25,87.5,63.392856125
1.529999971,31.25,25,69.69537497
1.889999986,84.375,100,35.031512375
3.700000048,71.875,100,75.9978956
4,100,100,88.602935075
2.329999924,87.5,87.5,22.426474685
2.849999905,75,75,66.54411554
2,75,62.5,50.78781503
3.619999886,93.75,100,66.54411554
2.400000095,96.875,100,53.939075165
3.710000038,93.75,87.5,79.149155015
3.539999962,100,100,69.69537497
3.569999933,100,100,50.78781503
3.109999895,96.875,87.5,44.485293335
2.130000114,87.5,87.5,28.72899533
3.5,96.875,100,57.09033638
3.309999943,84.375,100,50.78781503
2.25,71.875,87.5,44.485293335
2.380000114,78.125,62.5,57.09033638
1.460000038,87.5,75,69.69537497
3.039999962,87.5,100,53.939075165
2.680000067,71.875,75,35.031512375
1.110000014,43.75,87.5,25.577734115
0.691999972,84.375,100,28.72899533
2.960000038,90.625,100,41.334033905
2.369999886,78.125,87.5,69.69537497
2.25,78.125,100,44.485293335
2.25,84.375,62.5,66.54411554
2.5,93.75,87.5,60.241596695
2,87.5,87.5,35.031512375
3,81.25,87.5,41.334033905
2.130000114,18.75,37.5,60.241596695
1.230000019,84.375,75,50.78781503
2,81.25,100,50.78781503
3.5,87.5,100,60.241596695
2,53.125,75,44.485293335
2.319999933,75,87.5,63.392856125
1.899999976,81.25,87.5,31.880254745
2.5,93.75,100,28.72899533
3.289999962,78.125,75,79.149155015
2,90.625,75,31.880254745
3.410000086,90.625,87.5,79.149155015
1.5,65.625,87.5,44.485293335
3.5,90.625,100,57.09033638
0.566999972,59.375,50,41.334033905
3.190000057,90.625,87.5,69.69537497
1.879999995,87.5,100,31.880254745
2,100,100,60.241596695
2.619999886,81.25,75,38.182771805
2.819999933,90.625,87.5,50.78781503
3.140000105,87.5,100,31.880254745
2.849999905,100,100,53.939075165
2.130000114,96.875,87.5,31.880254745
2.640000105,84.375,87.5,28.72899533
2.119999886,84.375,87.5,28.72899533
3.349999905,75,100,60.241596695
2.730000019,81.25,100,38.182771805
3,96.875,100,38.182771805
1.75,62.5,87.5,38.182771805
2.880000114,87.5,100,35.031512375
3.230000019,71.875,87.5,63.392856125
2.960000038,96.875,100,44.485293335
2.319999933,37.5,50,31.880254745
2.539999962,90.625,100,44.485293335
0.333000004,37.5,NA,41.334033905
1.820000052,84.375,100,22.426474685
3.339999914,96.875,100,57.09033638
2.900000095,90.625,100,60.241596695
2.920000076,81.25,62.5,47.636554985
3.160000086,90.625,100,50.78781503
3.049999952,93.75,100,28.72899533
2.539999962,68.75,100,72.846634385
2.099999905,90.625,100,63.392856125
3.769999981,93.75,100,53.939075165
1.25,46.875,25,57.09033638
2.650000095,90.625,100,22.426474685
2.299999952,78.125,100,35.031512375
1.070000052,90.625,87.5,19.275213485
2.559999943,78.125,100,44.485293335
2.539999962,65.625,62.5,63.392856125
2.910000086,96.875,100,57.09033638
3,81.25,100,44.485293335
2.430000067,90.625,100,35.031512375
3.210000038,96.875,87.5,69.69537497
1.600000024,31.25,50,22.426474685
2.849999905,90.625,100,60.241596695
3.029999971,71.875,100,66.54411554
3.039999962,81.25,100,63.392856125
1.690000057,84.375,100,31.880254745
1.950000048,84.375,75,63.392856125
1.929999948,65.625,100,57.09033638
1.809999943,56.25,62.5,53.939075165
2.859999895,84.375,25,3.518916365
3.25,84.375,100,63.392856125
2.5,87.5,87.5,41.334033905
2.390000105,84.375,75,63.392856125
2.529999971,50,87.5,60.241596695
2.650000095,71.875,87.5,60.241596695
3.420000076,68.75,100,50.78781503
2.680000067,81.25,100,44.485293335
1.789999962,59.375,75,47.636554985
1.350000024,28.125,NA,63.392856125
3.380000114,93.75,100,19.275213485
0.449999988,12.5,NA,47.636554985
3.880000114,100,100,63.392856125
2.849999905,96.875,100,60.241596695
2.309999943,87.5,87.5,44.485293335
2.650000095,87.5,100,57.09033638
2.859999895,78.125,62.5,47.636554985
1.629999995,78.125,25,53.939075165
3.069999933,100,100,66.54411554
2.119999886,59.375,87.5,66.54411554
4,100,100,82.30041623
1.960000038,78.125,75,57.09033638
1.769999981,87.5,87.5,22.426474685
2.690000057,75,87.5,57.09033638
2.970000029,100,100,63.392856125
3.269999981,96.875,87.5,69.69537497
2.309999943,84.375,100,38.182771805
1.879999995,93.75,87.5,44.485293335
2.25,84.375,87.5,44.485293335
2.75,90.625,75,79.149155015
1.789999962,81.25,75,44.485293335
3.859999895,100,100,75.9978956
2.079999924,65.625,87.5,41.334033905
2.960000038,87.5,100,66.54411554
2.230000019,81.25,100,35.031512375
2.460000038,78.125,100,35.031512375
1.700000048,81.25,87.5,50.78781503
3.130000114,93.75,100,60.241596695
2.380000114,84.375,100,35.031512375
2.75,50,75,38.182771805
2.640000105,84.375,100,28.72899533
2.460000038,40.625,87.5,44.485293335
0.666999996,15.625,12.5,41.334033905
2.819999933,100,100,60.241596695
0,34.375,12.5,53.939075165
2.680000067,100,100,41.334033905
0.625,78.125,100,44.485293335
2.890000105,90.625,100,47.636554985
1.960000038,40.625,37.5,47.636554985
2.470000029,84.375,87.5,53.939075165
3.099999905,93.75,100,47.636554985
2.150000095,87.5,100,53.939075165
0.32100001,28.125,62.5,50.78781503
2.700000048,65.625,100,38.182771805
3.130000114,93.75,87.5,60.241596695
3.119999886,59.375,75,72.846634385
2.630000114,53.125,62.5,41.334033905
2.960000038,93.75,100,57.09033638
2.799999952,96.875,100,38.182771805
3.859999895,96.875,100,75.9978956
2.900000095,90.625,100,38.182771805
2.430000067,56.25,37.5,60.241596695
2.890000105,93.75,100,57.09033638
2.380000114,75,75,35.031512375
0.866999984,43.75,62.5,41.334033905
2.5,93.75,100,44.485293335
3.549999952,96.875,100,53.939075165
3.5,87.5,50,60.241596695
1.610000014,93.75,87.5,25.577734115
2.690000057,84.375,100,47.636554985
2.650000095,59.375,62.5,75.9978956
2.849999905,90.625,100,57.09033638
2.25,96.875,100,47.636554985
2.960000038,87.5,100,69.69537497
3.640000105,90.625,100,66.54411554
2.630000114,84.375,75,35.031512375
3.460000038,90.625,100,60.241596695
2,37.5,75,44.485293335
2.5,87.5,100,41.334033905
2.900000095,96.875,100,19.275213485
2.769999981,93.75,100,53.939075165
2.289999962,78.125,62.5,41.334033905
2.5,81.25,87.5,41.334033905
2.829999924,93.75,100,47.636554985
3.069999933,100,100,50.78781503
3.25,93.75,100,69.69537497
3.619999886,81.25,100,82.30041623
2.809999943,93.75,100,57.09033638
3,100,100,50.78781503
2.690000057,90.625,100,47.636554985
1.179999948,87.5,100,60.241596695
1.929999948,96.875,100,35.031512375
0.922999978,46.875,12.5,28.72899533
3.5,93.75,87.5,53.939075165
2.789999962,78.125,100,50.78781503
0.600000024,46.875,37.5,38.182771805
2.799999952,87.5,100,60.241596695
2.900000095,100,100,47.636554985
2.5,87.5,87.5,38.182771805
2.599999905,96.875,100,47.636554985
2.630000114,46.875,100,50.78781503
2.329999924,84.375,62.5,57.09033638
3.640000105,93.75,100,69.69537497
2.789999962,96.875,100,35.031512375
1.230000019,50,12.5,44.485293335
2.650000095,93.75,100,47.636554985
2.390000105,93.75,75,41.334033905
2.630000114,93.75,100,50.78781503
3.079999924,87.5,87.5,50.78781503
1.940000057,93.75,100,31.880254745
2.630000114,78.125,100,47.636554985
3.039999962,93.75,100,41.334033905
1.850000024,50,37.5,38.182771805
2.930000067,84.375,37.5,57.09033638
2.920000076,75,100,44.485293335
2.200000048,50,12.5,60.241596695
0.800000012,31.25,12.5,22.426474685
2.25,87.5,75,44.485293335
3.470000029,93.75,100,79.149155015
2.049999952,34.375,75,38.182771805
3.420000076,84.375,87.5,44.485293335
2.109999895,84.375,87.5,66.54411554
2.470000029,62.5,87.5,53.939075165
1.139999986,56.25,37.5,25.577734115
0.625,31.25,50,44.485293335
3.210000038,84.375,100,38.182771805
3.769999981,96.875,100,57.09033638
2.859999895,100,100,60.241596695
3.269999981,93.75,100,57.09033638
2.789999962,96.875,100,66.54411554
3.269999981,100,100,63.392856125
2.74000001,87.5,87.5,50.78781503
3.890000105,90.625,100,57.09033638
2.069999933,53.125,62.5,44.485293335
3.880000114,81.25,100,82.30041623
2.809999943,56.25,87.5,44.485293335
2.539999962,87.5,100,38.182771805
3.75,100,100,60.241596695
1.75,96.875,100,41.334033905
2.799999952,56.25,75,47.636554985
3.369999886,75,75,57.09033638
3.25,93.75,100,53.939075165
3.700000048,96.875,100,75.9978956
3.039999962,100,100,57.09033638
1.769999981,81.25,100,35.031512375
1.879999995,65.625,37.5,31.880254745
2.390000105,78.125,62.5,41.334033905
2.970000029,71.875,100,75.9978956
2.420000076,90.625,100,50.78781503
0.462000012,50,62.5,38.182771805
3.109999895,96.875,100,47.636554985
2.880000114,75,87.5,66.54411554
2.099999905,56.25,50,35.031512375
1.320000052,53.125,62.5,38.182771805
1.769999981,90.625,100,50.78781503
2.640000105,87.5,100,50.78781503
3.349999905,71.875,87.5,50.78781503
1.25,59.375,37.5,38.182771805
3.180000067,96.875,100,53.939075165
3.109999895,56.25,37.5,69.69537497
3,84.375,100,53.939075165
2.650000095,81.25,87.5,53.939075165
2.049999952,96.875,100,19.275213485
3.769999981,96.875,100,75.9978956
3.569999933,100,100,50.78781503
2.970000029,90.625,87.5,47.636554985
3.269999981,93.75,87.5,63.392856125
2.460000038,71.875,100,57.09033638
2.75,81.25,100,50.78781503
3.430000067,96.875,100,50.78781503
2.730000019,75,100,38.182771805
0.850000024,59.375,50,50.78781503
2.609999895,96.875,87.5,41.334033905
3.410000086,90.625,100,50.78781503
1,78.125,100,38.182771805
2.690000057,100,100,28.72899533
3.660000086,100,100,63.392856125
3.170000076,87.5,100,53.939075165
1.799999952,43.75,62.5,60.241596695
